Entity Class,Name Key,Short Name Key,Description Key,Manufacturer,Size,Grade,Class,Health,Damage Alpha,Rate of Fire,Projectile Speed,Ammo Range,Ammo Quantity,Heat Per Shot
amrs_aagun_cc_s3,item_NameAMRS_ScatterGun_S3,,item_DescAMRS_ScatterGun_S3,AMRS,3,1,Gun,1550,52,40,800,480,0,5
amrs_lasercannon_s1,item_NameAMRS_LaserCannon_S1,item_NameAMRS_LaserCannon_S1_short,item_DescAMRS_LaserCannon_S1,AMRS,1,1,Gun,550,97.2,150,1400,2002,0,0
amrs_lasercannon_s2,item_NameAMRS_LaserCannon_S2,item_NameAMRS_LaserCannon_S2_short,item_DescAMRS_LaserCannon_S2,AMRS,2,1,Gun,850,145.8,150,1400,2296,0,0
amrs_lasercannon_s3,item_NameAMRS_LaserCannon_S3,item_NameAMRS_LaserCannon_S3_short,item_DescAMRS_LaserCannon_S3,AMRS,3,1,Gun,1024,218.7,150,1400,2604,0,0
amrs_lasercannon_s4,item_NameAMRS_LaserCannon_S4,item_NameAMRS_LaserCannon_S4_short,item_DescAMRS_LaserCannon_S4,AMRS,4,1,Gun,1650,327.888,150,1344,2997.12,0,0
amrs_lasercannon_s5,item_NameAMRS_LaserCannon_S5,item_NameAMRS_LaserCannon_S5_short,item_DescAMRS_LaserCannon_S5,AMRS,5,1,Gun,2500,492.156,150,1288,3310.16,0,0
amrs_lasercannon_s6,item_NameAMRS_LaserCannon_S6,item_NameAMRS_LaserCannon_S6_short,item_DescAMRS_LaserCannon_S6,AMRS,6,1,Gun,4224,738.396,150,1232,3597.44,0,0
amrs_scattergun_s3,item_NameAMRS_ScatterGun_S3,item_NameAMRS_ScatterGun_S3_short,item_DescAMRS_ScatterGun_S3,AMRS,3,1,Gun,1550,49.5,70,1200,2400,0,0
anvl_ballisticgatling_bespoke,item_NameAPAR_BallisticGatling_S4,item_NameAPAR_BallisticGatling_S4_short,item_DescAPAR_BallisticGatling_S4,ANVL,3,1,Gun,1650,52.7,1200,1050,2835,3567,0.4347826
apar_ballisticgatling_s4,item_NameAPAR_BallisticGatling_S4,item_NameAPAR_BallisticGatling_S4_short,item_DescAPAR_BallisticGatling_S4,APAR,4,1,Gun,1650,63.3,1200,1200,3000,3660,0.5309735
apar_ballisticgatling_s4_lowpoly,item_NameAPAR_BallisticGatling_S4,item_NameAPAR_BallisticGatling_S4_short,item_DescAPAR_BallisticGatling_S4,APAR,4,1,Gun,1650,63.3,1200,1200,3000,3660,0.5309735
apar_ballisticgatling_s6,item_NameAPAR_BallisticGatling_S6,item_NameAPAR_BallisticGatling_S6_short,item_DescAPAR_BallisticGatling_S6,APAR,6,1,Gun,4224,142.4,1200,1200,3600,3309,0.6857143
apar_ballisticscattergun_s1,item_NameAPAR_BallisticScatterGun_S1,item_NameAPAR_BallisticScatterGun_S1_short,item_DescAPAR_BallisticScatterGun_S1,APAR,1,1,Gun,1550,46.8,60,1000,2000,2040,0
apar_ballisticscattergun_s1_shark,item_NameAPAR_BallisticScatterGun_S1_Shark,item_NameAPAR_BallisticScatterGun_S1_Shark_short,item_DescAPAR_BallisticScatterGun_S1,APAR,1,1,Gun,1550,46.8,60,1000,2000,2040,0
apar_ballisticscattergun_s2,item_NameAPAR_BallisticScatterGun_S2,item_NameAPAR_BallisticScatterGun_S2_short,item_DescAPAR_BallisticScatterGun_S2,APAR,2,1,Gun,1550,70,60,1000,2000,2019,0
apar_ballisticscattergun_s2_shark,item_NameAPAR_BallisticScatterGun_S2_Shark,item_NameAPAR_BallisticScatterGun_S2_Shark_short,item_DescAPAR_BallisticScatterGun_S2,APAR,2,1,Gun,1550,70,60,1000,2000,2019,0
apar_ballisticscattergun_s3,item_NameAPAR_BallisticScatterGun_S3,item_NameAPAR_BallisticScatterGun_S3_short,item_DescAPAR_BallisticScatterGun_S3,APAR,3,1,Gun,1550,105,60,1000,2000,1980,0
apar_ballisticscattergun_s3_shark,item_NameAPAR_BallisticScatterGun_S3_Shark,item_NameAPAR_BallisticScatterGun_S3_Shark_short,item_DescAPAR_BallisticScatterGun_S3,APAR,3,1,Gun,1550,105,60,1000,2000,1980,0
apar_ballisticscattergun_s6,LOC_PLACEHOLDER,,LOC_PLACEHOLDER,APAR,1,1,Gun,1550,355,60,1000,7500,1641,0
apar_massdriver_s2,item_NameAPAR_MassDriver_S2,item_NameAPAR_MassDriver_S2_short,item_DescAPAR_MassDriver_S2,APAR,2,1,Gun,1050,525,30,5000,5500,84,0
asad_distortionrepeater_s1,item_NameASAD_DistortionRepeater_S1,item_NameASAD_DistortionRepeater_S1_short,item_DescASAD_DistortionRepeater_S1,ASD,1,1,Gun,525,25.7,400,1300,2000.284,0,0
asad_distortionrepeater_s2,item_NameASAD_DistortionRepeater_S2,item_NameASAD_DistortionRepeater_S2_short,item_DescASAD_DistortionRepeater_S2,ASD,2,1,Gun,850,38.5,400,1300,2301.026,0,0
asad_distortionrepeater_s3,item_NameASAD_DistortionRepeater_S3,item_NameASAD_DistortionRepeater_S3_short,item_DescASAD_DistortionRepeater_S3,ASD,3,1,Gun,1024,57.9001,400,1300,2594.774,0,0
banu_energyrepeater_s2,item_NameKLWE_LaserRepeater_S2,item_NameKLWE_LaserRepeater_S2_short,item_DescKLWE_LaserRepeater_S2,BANU,2,1,Gun,850,,600,,,0,0
banu_tachyoncannon_s1,item_NameBANU_TachyonCannon_S1,item_NameBANU_TachyonCannon_S1_short,item_DescBANU_TachyonCannon_S1,BANU,1,1,Gun,550,202.5,90,3000,1050,0,0
banu_tachyoncannon_s2,item_NameBANU_TachyonCannon_S2,item_NameBANU_TachyonCannon_S2_short,item_DescBANU_TachyonCannon_S2,BANU,2,1,Gun,850,472.5,90,3000,1200,0,0
banu_tachyoncannon_s3,item_NameBANU_TachyonCannon_S3,item_NameBANU_TachyonCannon_S3_short,item_DescBANU_TachyonCannon_S3,BANU,3,1,Gun,1024,1012.5,90,3000,1500,0,0
behr_ballisticcannon_s4,item_NameBEHR_BallisticCannon_S4,item_NameBEHR_BallisticCannon_S4_short,item_DescBEHR_BallisticCannon_S4,BEHR,4,1,Gun,1650,325,50,900,6525,270,12
behr_ballisticcannon_s7_idris,item_NameHRST_BallisticCannon_S7,item_NameHRST_BallisticCannon_S7_short,item_DescHRST_BallisticCannon_S7,BEHR,7,1,Gun,6750,4000,50,850,4496.5,800,5
behr_ballisticcannon_vng_s2,item_NameBEHR_BallisticCannon_VNG_S2,item_NameBEHR_BallisticCannon_VNG_S2_short,item_DescBEHR_BallisticCannon_VNG_S2,BEHR,2,1,Gun,550,162,150,1320,2310,327,4
behr_ballisticgatling_hornet_bespoke,item_NameBEHR_BallisticGatling_Hornet_Bespoke,item_NameBEHR_BallisticGatling_Hornet_Bespoke,item_DescBEHR_BallisticGatling_Hornet_Bespoke,BEHR,4,1,Gun,1500,52.7,1050,1050,2835,5250,0.6
behr_ballisticgatling_pdc_s1,item_NameBEHR_BallisticGatling_PDC_S1,item_NameBEHR_BallisticGatling_PDC_S1_short,item_DescBEHR_BallisticGatling_PDC_S1,BEHR,1,1,Gun,850,18,1200,1600,2000,15000,0.33
behr_ballisticgatling_s4,item_NameBEHR_BallisticGatling_S4,item_NameBEHR_BallisticGatling_S4_short,item_DescBEHR_BallisticGatling_S4,BEHR,4,1,Gun,1650,84.4,900,900,2997,5220,0.5080645
behr_ballisticgatling_s5,item_NameBEHR_BallisticGatling_S5,item_NameBEHR_BallisticGatling_S5_short,item_DescBEHR_BallisticGatling_S5,BEHR,5,1,Gun,1650,126.5,900,900,3303,5004,0.5727273
behr_ballisticgatling_s6,item_NameBEHR_BallisticGatling_S6,item_NameBEHR_BallisticGatling_S6_short,item_DescBEHR_BallisticGatling_S6,BEHR,6,1,Gun,1650,189.9,900,900,3600,4734,0.6542056
behr_ballisticgatling_s7,item_NameBEHR_BallisticGatling_SF7B_S7,item_NameBEHR_BallisticGatling_SF7B_S7_short,item_DescBEHR_BallisticGatling_SF7B_S7,BEHR,7,1,Gun,6750,292,900,900,3996,2994,0.5278592
behr_ballisticgatling_s7_collector,item_NameBEHR_BallisticGatling_SF7B_S7,item_NameBEHR_BallisticGatling_SF7B_S7_short,item_DescBEHR_BallisticGatling_SF7B_S7,BEHR,7,1,Gun,6750,292,900,900,3996,2994,0.5278592
behr_ballisticrepeater_s1,item_NameBEHR_BallisticRepeater_S1,item_NameBEHR_BallisticRepeater_S1_short,item_DescBEHR_BallisticRepeater_S1,BEHR,1,1,Gun,525,36,500,1200,2004,2664,0.6666667
behr_ballisticrepeater_s2,item_NameBEHR_BallisticRepeater_S2,item_NameBEHR_BallisticRepeater_S2_short,item_DescBEHR_BallisticRepeater_S2,BEHR,2,1,Gun,850,54,500,1200,2304,2637,0.7272727
behr_ballisticrepeater_s3,item_NameBEHR_BallisticRepeater_S3,item_NameBEHR_BallisticRepeater_S3_short,item_DescBEHR_BallisticRepeater_S3,BEHR,3,1,Gun,1024,81,500,1200,2604,2589,0.8
